Date, Open, High, Low, Close, Volume
20211203  16:25:00,3394.2,3398.61,3390.67,3397.03,175
20211203  16:30:00,3395.0,3397.07,3389.19,3394.7,106
20211203  16:35:00,3393.0,3395.01,3383.0,3384.53,123
20211203  16:40:00,3383.56,3387.45,3376.0,3378.53,104
20211203  16:45:00,3376.0,3383.08,3372.42,3378.68,158
20211203  16:50:00,3376.73,3377.05,3370.31,3370.59,285
20211203  16:55:00,3372.62,3375.04,3365.1,3366.28,135
20211203  17:00:00,3367.16,3368.28,3363.67,3366.82,219
20211203  17:05:00,3366.93,3376.53,3366.93,3375.81,198
20211203  17:10:00,3374.48,3375.73,3366.26,3371.88,140
20211203  17:15:00,3371.87,3380.72,3371.87,3376.69,150
20211203  17:20:00,3377.15,3380.8,3374.0,3378.66,120
20211203  17:25:00,3376.5,3378.67,3373.48,3374.0,113
20211203  17:30:00,3373.15,3373.36,3366.0,3370.92,65
20211203  17:35:00,3371.51,3381.75,3365.64,3381.14,134
20211203  17:40:00,3381.71,3382.98,3372.16,3372.17,144
20211203  17:45:00,3373.84,3375.37,3368.6,3373.25,77
20211203  17:50:00,3374.51,3377.47,3369.99,3370.72,50
20211203  17:55:00,3372.39,3376.99,3368.05,3376.67,82
20211203  18:00:00,3374.91,3378.67,3373.77,3377.52,138
20211203  18:05:00,3379.35,3386.93,3378.9,3384.92,152
20211203  18:10:00,3384.8,3389.29,3382.32,3387.84,121
20211203  18:15:00,3388.53,3394.58,3386.02,3391.0,125
20211203  18:20:00,3391.05,3392.27,3387.14,3391.02,74
20211203  18:25:00,3390.2,3390.2,3376.91,3376.91,179
20211203  18:30:00,3377.25,3377.25,3369.62,3369.62,111
20211203  18:35:00,3370.07,3370.08,3362.87,3365.0,160
20211203  18:40:00,3365.83,3368.53,3363.01,3365.0,75
20211203  18:45:00,3365.01,3367.29,3362.0,3366.69,104
20211203  18:50:00,3365.25,3371.73,3365.25,3368.01,111
20211203  18:55:00,3366.0,3366.0,3360.0,3360.0,97
20211203  19:00:00,3360.0,3368.18,3356.02,3366.29,126
20211203  19:05:00,3365.66,3367.44,3357.36,3360.0,103
20211203  19:10:00,3359.58,3362.3,3356.32,3361.96,80
20211203  19:15:00,3360.46,3361.28,3356.0,3356.0,64
20211203  19:20:00,3357.33,3367.77,3353.66,3366.87,173
20211203  19:25:00,3366.8,3366.8,3360.01,3360.01,89
20211203  19:30:00,3362.16,3363.91,3356.08,3358.16,72
20211203  19:35:00,3359.85,3361.21,3353.05,3355.16,122
20211203  19:40:00,3358.09,3362.07,3355.59,3359.79,56
20211203  19:45:00,3358.01,3361.29,3355.51,3355.7,26
20211203  19:50:00,3355.01,3359.61,3354.06,3354.67,82
